text,mood
"This is a very happy day, truly amazing.",happy
My day has been depressed; everything feels unhappy.,sad
I feel yay and smiling today.,happy
"This is a very joyful day, truly grateful.",happy
My day has been alright; everything feels okay.,neutral
"This is a very hopeless day, truly tired.",sad
I feel hesitant and panicking today.,anxious
Feeling kind of tired but also a bit miserable.,sad
I feel down and miserable today.,sad
Feeling kind of smiling but also a bit joyful.,happy
I feel yelling and annoyed today.,angry
"Just another day, kind of doubtful, maybe a little worried.",anxious
My day has been wonderful; everything feels amazing.,happy
I feel yelling and irritated today.,angry
I feel grateful and amazing today.,happy
Feeling kind of unhappy but also a bit tired.,sad
Feeling kind of scared but also a bit nervous.,anxious
I feel irritated and annoyed today.,angry
"This is a very normal day, truly nothing.",neutral
Feeling kind of blue but also a bit tired.,sad
I feel average and typical today.,neutral
"Just another day, kind of sad, maybe a little miserable.",sad
My day has been furious; everything feels irritated.,angry
"Just another day, kind of irritated, maybe a little rage.",angry
"This is a very nervous day, truly panicking.",anxious
Feeling kind of hopeless but also a bit crying.,sad
Feeling kind of routine but also a bit alright.,neutral
"Just another day, kind of depressed, maybe a little hopeless.",sad
"This is a very happy day, truly joyful.",happy
"Just another day, kind of tired, maybe a little unhappy.",sad
My day has been hesitant; everything feels uneasy.,anxious
I feel upset and angry today.,angry
I feel usual and typical today.,neutral
"Just another day, kind of hate, maybe a little mad.",angry
"This is a very amazing day, truly wonderful.",happy
My day has been fine; everything feels usual.,neutral
Feeling kind of average but also a bit normal.,neutral
I feel hopeless and crying today.,sad
I feel typical and day today.,neutral
"This is a very awesome day, truly amazing.",happy
I feel grateful and joyful today.,happy
"This is a very worried day, truly doubtful.",anxious
"This is a very blue day, truly hopeless.",sad
"This is a very upset day, truly hate.",angry
"Just another day, kind of average, maybe a little usual.",neutral
"Just another day, kind of rage, maybe a little upset.",angry
I feel grateful and yay today.,happy
"This is a very angry day, truly upset.",angry
I feel average and okay today.,neutral
I feel grateful and joyful today.,happy
"This is a very furious day, truly upset.",angry
My day has been rage; everything feels irritated.,angry
"This is a very crying day, truly blue.",sad
I feel fear and tense today.,anxious
"Just another day, kind of smiling, maybe a little awesome.",happy
I feel uneasy and anxious today.,anxious
I feel smiling and awesome today.,happy
My day has been down; everything feels crying.,sad
"This is a very nervous day, truly fear.",anxious
I feel rage and irritated today.,angry
I feel doubtful and worried today.,anxious
"This is a very okay day, truly fine.",neutral
"Just another day, kind of tired, maybe a little blue.",sad
"This is a very tired day, truly sad.",sad
Feeling kind of anxious but also a bit fear.,anxious
My day has been panicking; everything feels fear.,anxious
Feeling kind of nervous but also a bit tense.,anxious
I feel sad and hopeless today.,sad
My day has been angry; everything feels yelling.,angry
"This is a very doubtful day, truly hesitant.",anxious
"This is a very wonderful day, truly joyful.",happy
"This is a very yay day, truly joyful.",happy
My day has been worried; everything feels tense.,anxious
"Just another day, kind of okay, maybe a little fine.",neutral
Feeling kind of alright but also a bit nothing.,neutral
"This is a very irritated day, truly frustrated.",angry
Feeling kind of hate but also a bit mad.,angry
I feel scared and worried today.,anxious
I feel hesitant and worried today.,anxious
Feeling kind of average but also a bit nothing.,neutral
"This is a very miserable day, truly unhappy.",sad
"Just another day, kind of annoyed, maybe a little mad.",angry
I feel usual and nothing today.,neutral
"This is a very usual day, truly fine.",neutral
My day has been furious; everything feels yelling.,angry
My day has been gloomy; everything feels crying.,sad
Feeling kind of miserable but also a bit down.,sad
I feel day and usual today.,neutral
I feel smiling and amazing today.,happy
Feeling kind of awesome but also a bit excited.,happy
"Just another day, kind of blue, maybe a little hopeless.",sad
I feel okay and fine today.,neutral
Feeling kind of hopeless but also a bit sad.,sad
"Just another day, kind of nothing, maybe a little normal.",neutral
Feeling kind of sad but also a bit gloomy.,sad
"This is a very awesome day, truly grateful.",happy
"Just another day, kind of awesome, maybe a little wonderful.",happy
"This is a very normal day, truly average.",neutral
"This is a very tired day, truly sad.",sad
Feeling kind of hate but also a bit irritated.,angry
I feel unhappy and tired today.,sad
"Just another day, kind of tense, maybe a little hesitant.",anxious
"This is a very annoyed day, truly irritated.",angry
Feeling kind of grateful but also a bit smiling.,happy
Feeling kind of furious but also a bit annoyed.,angry
Feeling kind of routine but also a bit nothing.,neutral
"This is a very joyful day, truly amazing.",happy
I feel usual and okay today.,neutral
Feeling kind of routine but also a bit typical.,neutral
I feel hesitant and doubtful today.,anxious
Feeling kind of hesitant but also a bit tense.,anxious
My day has been smiling; everything feels happy.,happy
"Just another day, kind of average, maybe a little typical.",neutral
I feel awesome and yay today.,happy
"Just another day, kind of upset, maybe a little annoyed.",angry
My day has been hate; everything feels annoyed.,angry
"Just another day, kind of down, maybe a little tired.",sad
"Just another day, kind of crying, maybe a little gloomy.",sad
Feeling kind of okay but also a bit usual.,neutral
"Just another day, kind of tired, maybe a little miserable.",sad
My day has been uneasy; everything feels tense.,anxious
Feeling kind of nervous but also a bit worried.,anxious
I feel alright and typical today.,neutral
"This is a very gloomy day, truly down.",sad
"This is a very sad day, truly crying.",sad
"Just another day, kind of hesitant, maybe a little worried.",anxious
"Just another day, kind of hesitant, maybe a little tense.",anxious
"This is a very fear day, truly tense.",anxious
"This is a very joyful day, truly smiling.",happy
I feel hopeless and blue today.,sad
"Just another day, kind of average, maybe a little fine.",neutral
My day has been blue; everything feels hopeless.,sad
My day has been typical; everything feels day.,neutral
"Just another day, kind of routine, maybe a little nothing.",neutral
Feeling kind of blue but also a bit crying.,sad
"Just another day, kind of gloomy, maybe a little hopeless.",sad
I feel gloomy and blue today.,sad
Feeling kind of irritated but also a bit annoyed.,angry
"This is a very upset day, truly furious.",angry
"This is a very down day, truly tired.",sad
"Just another day, kind of unhappy, maybe a little tired.",sad
"Just another day, kind of upset, maybe a little rage.",angry
"Just another day, kind of grateful, maybe a little smiling.",happy
"Just another day, kind of okay, maybe a little routine.",neutral
"Just another day, kind of awesome, maybe a little amazing.",happy
My day has been doubtful; everything feels hesitant.,anxious
Feeling kind of blue but also a bit down.,sad
"Just another day, kind of uneasy, maybe a little anxious.",anxious
"Just another day, kind of hate, maybe a little mad.",angry
I feel crying and hopeless today.,sad
I feel hesitant and anxious today.,anxious
"This is a very nervous day, truly uneasy.",anxious
Feeling kind of amazing but also a bit smiling.,happy
Feeling kind of blue but also a bit miserable.,sad
Feeling kind of panicking but also a bit fear.,anxious
My day has been great; everything feels happy.,happy
I feel awesome and grateful today.,happy
"This is a very happy day, truly grateful.",happy
"This is a very yay day, truly excited.",happy
My day has been blue; everything feels unhappy.,sad
Feeling kind of blue but also a bit gloomy.,sad
"This is a very crying day, truly unhappy.",sad
Feeling kind of furious but also a bit angry.,angry
"This is a very routine day, truly alright.",neutral
I feel yay and grateful today.,happy
My day has been yelling; everything feels furious.,angry
"Just another day, kind of awesome, maybe a little wonderful.",happy
Feeling kind of furious but also a bit upset.,angry
I feel smiling and great today.,happy
"This is a very scared day, truly uneasy.",anxious
Feeling kind of nervous but also a bit doubtful.,anxious
"Just another day, kind of nothing, maybe a little day.",neutral
Feeling kind of hesitant but also a bit panicking.,anxious
"Just another day, kind of unhappy, maybe a little gloomy.",sad
Feeling kind of blue but also a bit tired.,sad
"This is a very great day, truly awesome.",happy
Feeling kind of tense but also a bit scared.,anxious
My day has been annoyed; everything feels yelling.,angry
I feel wonderful and grateful today.,happy
My day has been tired; everything feels blue.,sad
"Just another day, kind of blue, maybe a little crying.",sad
"This is a very joyful day, truly amazing.",happy
My day has been tense; everything feels panicking.,anxious
My day has been rage; everything feels upset.,angry
Feeling kind of hate but also a bit upset.,angry
Feeling kind of rage but also a bit annoyed.,angry
"This is a very irritated day, truly furious.",angry
"This is a very furious day, truly upset.",angry
Feeling kind of down but also a bit blue.,sad
I feel nothing and usual today.,neutral
Feeling kind of gloomy but also a bit down.,sad
My day has been gloomy; everything feels sad.,sad
I feel gloomy and sad today.,sad
"Just another day, kind of usual, maybe a little normal.",neutral
"Just another day, kind of happy, maybe a little amazing.",happy
"This is a very uneasy day, truly scared.",anxious
I feel amazing and great today.,happy
I feel smiling and great today.,happy
"This is a very okay day, truly normal.",neutral
"This is a very usual day, truly fine.",neutral
My day has been wonderful; everything feels smiling.,happy
My day has been alright; everything feels average.,neutral
Feeling kind of uneasy but also a bit hesitant.,anxious
My day has been routine; everything feels usual.,neutral
"This is a very okay day, truly fine.",neutral
"This is a very gloomy day, truly unhappy.",sad
I feel depressed and hopeless today.,sad
"Just another day, kind of sad, maybe a little tired.",sad
I feel day and usual today.,neutral
"Just another day, kind of gloomy, maybe a little crying.",sad
My day has been grateful; everything feels amazing.,happy
My day has been tired; everything feels unhappy.,sad
"This is a very depressed day, truly gloomy.",sad
Feeling kind of happy but also a bit excited.,happy
"Just another day, kind of alright, maybe a little usual.",neutral
"Just another day, kind of great, maybe a little amazing.",happy
"Just another day, kind of upset, maybe a little yelling.",angry
"Just another day, kind of worried, maybe a little anxious.",anxious
I feel yelling and annoyed today.,angry
Feeling kind of grateful but also a bit happy.,happy
"Just another day, kind of okay, maybe a little normal.",neutral
"This is a very day day, truly usual.",neutral
I feel routine and day today.,neutral
Feeling kind of scared but also a bit fear.,anxious
Feeling kind of furious but also a bit mad.,angry
"Just another day, kind of uneasy, maybe a little panicking.",anxious
I feel okay and day today.,neutral
I feel annoyed and frustrated today.,angry
My day has been doubtful; everything feels anxious.,anxious
"This is a very fear day, truly anxious.",anxious
"Just another day, kind of typical, maybe a little day.",neutral
My day has been grateful; everything feels amazing.,happy
"Just another day, kind of gloomy, maybe a little blue.",sad
"This is a very happy day, truly grateful.",happy
My day has been upset; everything feels angry.,angry
I feel worried and tense today.,anxious
"Just another day, kind of worried, maybe a little nervous.",anxious
"Just another day, kind of upset, maybe a little annoyed.",angry
"Just another day, kind of uneasy, maybe a little tense.",anxious
"This is a very normal day, truly routine.",neutral
I feel nothing and normal today.,neutral
My day has been hate; everything feels frustrated.,angry
Feeling kind of angry but also a bit annoyed.,angry
"This is a very alright day, truly day.",neutral
Feeling kind of doubtful but also a bit uneasy.,anxious
"Just another day, kind of upset, maybe a little yelling.",angry
"This is a very scared day, truly tense.",anxious
"Just another day, kind of routine, maybe a little average.",neutral
"Just another day, kind of awesome, maybe a little great.",happy
I feel nervous and uneasy today.,anxious
I feel hopeless and miserable today.,sad
"Just another day, kind of worried, maybe a little doubtful.",anxious
"This is a very excited day, truly smiling.",happy
Feeling kind of great but also a bit amazing.,happy
Feeling kind of routine but also a bit fine.,neutral
"Just another day, kind of routine, maybe a little typical.",neutral
"This is a very okay day, truly fine.",neutral
"Just another day, kind of irritated, maybe a little furious.",angry
"This is a very joyful day, truly great.",happy
